provinsi,jml_penduduk,latitude,longitude
IRIAN JAYA TIMUR,1416690,-5.124371450734661,139.39951583256243
NUSATENGGARA BARAT,4500212,-8.606151057517726,117.52616738848477
GORONTALO,1040164,0.6902322984983721,122.37694069766734
SULAWESI TENGGARA,2232586,-4.118699726145928,122.07669911692615
DAERAH ISTIMEWA YOGYAKARTA,3457491,-7.891517062361082,110.44824226315883
JAWA TENGAH,32382657,-7.259289808146433,110.20388734096552
PROBANTEN,10632166,-6.454842476087414,106.10691464599434
JAWA TIMUR,37476757,-7.719821270771255,112.73203384699177
MALUKU UTARA,1038087,0.20717702953984396,127.53953822972507
MALUKU,1533506,-4.744660661898775,129.85940677192238
KALIMANTAN SELATAN,3626616,-2.9976758339280956,115.44138343234594
KALIMANTAN BARAT,4395983,-0.0897954466405494,111.11730028213637
SULAWESI SELATAN,8034776,-3.3847000285833992,119.95043821100131
DKI JAKARTA,9607787,-6.20104041958173,106.83482683222667
JAWA BARAT,43053732,-6.918736186272609,107.60415628921666
IRIAN JAYA TENGAH,1416690,-3.186372117714736,136.65008360185436
NUSA TENGGARA TIMUR,4683827,-9.252542141551668,122.19270173699384
BALI,3890757,-8.368189816121413,115.13078696333417
RIAU,5538367,0.5856877860233802,102.10951698370692
SULAWESI TENGAH,2635009,-0.9767102849129433,121.19781310455643
KALIMANTAN TIMUR,3553143,1.3329158942536454,116.38346259090793
SULAWESI UTARA,2270596,1.2656213638569387,124.52194047844732
IRIAN JAYA BARAT,760422,-2.144878606260834,133.08830524075208
SUMATERA UTARA,12982204,2.1835152901513877,99.0618829007088
BANGKA BELITUNG,1223296,-2.4407823140938687,106.53735353522111
SUMATERA BARAT,4846909,-0.8689185611603641,100.4579485424094
KALIMANTAN TENGAH,2212089,-1.6017275434285536,113.41736738638112
SUMATERA SELATAN,7450394,-3.2090912594024608,104.17313315662447
JAMBI,3092265,-1.6965118689113674,102.72659206627125
LAMPUNG,7608405,-4.916373000624743,105.020727672646
BENGKULU,1715518,-3.571026668803136,102.36081311439577
DI. ACEH,4494410,4.225394352801134,96.9095388667558
